Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
second.tube,available,120,23%,6,"General,Mathematics",,,
complete.tube,available,120,21%,8,"Manufacturing,Retail,Technology",,,
wizard.tube,available,118,42%,6,"Entertainment,Media,Technology",,,
tenth.tube,available,116,7%,5,Mathematics,,,
flat.tube,available,116,24%,4,"Construction,Real Estate",,,
equal.tube,available,116,19%,5,"Education,General,Law",,,
tonic.tube,available,114,22%,5,"Health and Fitness,Medicine,Science",,,
above.tube,available,112,22%,5,Business,,,
acute.tube,available,112,9%,5,"Mathematics,Medicine,Science",,,
hotshot.tube,available,112,14%,7,"Business,Entertainment,Sports",,,
abstract.tube,available,108,29%,8,"Arts,Humanities,Science",,,
abiding.tube,available,106,5%,7,"General,Religion",,,
expert.tube,available,104,26%,6,"Business,Education,Technology",,,
active.tube,available,104,27%,6,"Health and Fitness,Sports,Travel",,,
absent.tube,available,102,8%,6,"Business,Education,Technology",,,
extra.tube,available,102,26%,5,"Fashion,Retail,Technology",,,
captive.tube,available,102,14%,7,"Entertainment,Hospitality,Technology",,,
ninth.tube,available,100,9%,5,Mathematics,,,
adjunct.tube,available,100,5%,7,Education,,,
sixth.tube,available,100,8%,5,Mathematics,,,
third.tube,available,100,16%,5,Mathematics,,,
abrupt.tube,available,100,3%,6,"Medicine,Science",,,
eighth.tube,available,100,6%,6,Mathematics,,,
whiz.tube,available,100,12%,4,"Business,Education,Technology",,,
crack.tube,available,100,20%,5,Sports,,,
genius.tube,available,98,46%,6,"Arts,Education,Technology",,,
whizz.tube,available,98,11%,5,"Business,Education,Technology",,,
alamode.tube,available,96,12%,9,Fashion,,,
forgiving.tube,available,96,3%,9,"Healthcare,Religion",,,
doable.tube,available,96,9%,6,"Business,Education,Technology",,,
virtuoso.tube,available,94,16%,8,"Arts,Entertainment",,,
adequate.tube,available,94,9%,8,"Education,Healthcare,Technology",,,
abject.tube,available,94,7%,6,Humanities,,,
around.tube,available,94,22%,6,"Business,General,Media,Technology",,,
about.tube,available,94,28%,5,"Business,General,Media,Technology",,,
adjective.tube,available,92,5%,9,Education,,,
adept.tube,available,92,24%,5,"Education,Health and Fitness,Sports",,,
twentieth.tube,available,92,3%,9,Mathematics,,,
nought.tube,available,92,4%,6,Mathematics,,,
derelict.tube,available,92,7%,8,"Construction,Real Estate",,,
abroad.tube,available,92,12%,6,"Hospitality,Travel",,,
neutral.tube,available,92,20%,7,"Business,Media,Politics",,,
exemplary.tube,available,92,5%,9,"Business,Education,Healthcare",,,
